Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05561,Cc1nnc(-c2c(Nc3ccc(C(F)(F)F)cc3)nn3c2CCC3)nc1C,C1CC2=C(C(=NN2C1)NC3=CC=C(C=C3)C(F)(F)F)C(=O)NN
TRZ05562,Cc1nnc(-c2ncccc2Nc2ccc(C(F)(F)F)cc2)nc1C,C1=CC(=C(N=C1)C(=O)NN)NC2=CC=C(C=C2)C(F)(F)F
TRZ05563,Cc1nnc(-c2c(-c3ccccc3F)ccnc2Cl)nc1C,C1=CC=C(C(=C1)C2=C(C(=NC=C2)Cl)C(=O)NN)F
TRZ05564,Cc1nnc(-c2ccc(C3(C(F)(F)F)N=N3)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)C2(N=N2)C(F)(F)F
TRZ05565,Cc1nnc(-c2ccc(C(N)(N)C(F)(F)F)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)C(C(F)(F)F)(N)N
TRZ05566,Cc1nnc(-c2ccc(OC(F)(F)F)cc2F)nc1C,C1=CC(=C(C=C1OC(F)(F)F)F)C(=O)NN
TRZ05567,Cc1nc(N2CC3(CCN(c4nccc(-c5nnc(C)c(C)n5)n4)C3)C2)cc(C(F)(F)F)n1,CC1=NC(=CC(=N1)N2CC3(C2)CCN(C3)C4=NC=CC(=N4)C(=O)NN)C(F)(F)F
TRZ05568,Cc1nnc(-c2ccnc(N3CCC4(CN(c5ccnc(C(F)(F)F)c5)C4)C3)n2)nc1C,C1CN(CC12CN(C2)C3=CC(=NC=C3)C(F)(F)F)C4=NC=CC(=N4)C(=O)NN
TRZ05569,Cc1cc([C@@H](C)Nc2ccccc2-c2nnc(C)c(C)n2)c2oc(N3CCC(F)(F)CC3)cc(=O)c2c1,CC1=CC2=C(C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)NN)OC(=CC2=O)N4CCC(CC4)(F)F
TRZ05570,Cc1nnc(-c2c(F)cnn2C)nc1C,CN1C(=C(C=N1)F)C(=O)NN
TRZ05571,C=CCC[C@@](Cc1ccccc1)(c1nnc(C)c(C)n1)C(F)(F)F,C=CCC[C@@](CC1=CC=CC=C1)(C(=O)NN)C(F)(F)F
TRZ05572,Cc1nnc(-c2cc3cc(F)ccc3o2)nc1C,C1=CC2=C(C=C1F)C=C(O2)C(=O)NN
TRZ05573,Cc1nnc(-c2nccnc2Nc2ccc(OC(F)(F)Cl)cc2)nc1C,C1=CC(=CC=C1NC2=NC=CN=C2C(=O)NN)OC(F)(F)Cl
TRZ05574,Cc1nnc(-c2cccnc2Nc2ccc(OC(F)(F)Cl)cc2)nc1C,C1=CC(=C(N=C1)NC2=CC=C(C=C2)OC(F)(F)Cl)C(=O)NN
TRZ05575,COc1cc(F)c(-n2cc(Cc3nnc(C)c(C)n3)nc2NC(=O)c2ccc(OC(F)F)cc2)c(F)c1,COC1=CC(=C(C(=C1)F)N2C=C(N=C2NC(=O)C3=CC=C(C=C3)OC(F)F)CC(=O)NN)F
TRZ05576,Cc1nnc(-c2cc3c(cn2)nc(-c2ccccc2F)n3[C@@H]2CCC[C@H](NC(=O)OC(C)(C)C)C2)nc1C,CC(C)(C)OC(=O)N[C@H]1CCC[C@H](C1)N2C3=CC(=NC=C3N=C2C4=CC=CC=C4F)C(=O)NN
TRZ05577,Cc1cc(C(=O)c2ccc(F)cc2)c(-c2nnc(C)c(C)n2)nc1C,CC1=CC(=C(N=C1C)C(=O)NN)C(=O)C2=CC=C(C=C2)F
TRZ05578,Cc1nnc(-c2cc(OC(F)(F)F)ccc2Br)nc1C,C1=CC(=C(C=C1OC(F)(F)F)C(=O)NN)Br
TRZ05579,Cc1nnc(-c2cc(OC(F)(F)F)ccc2C2CC2)nc1C,C1CC1C2=C(C=C(C=C2)OC(F)(F)F)C(=O)NN
TRZ05580,Cc1nnc(-c2cc(OC(F)(F)F)ccc2Cl)nc1C,C1=CC(=C(C=C1OC(F)(F)F)C(=O)NN)Cl
TRZ05581,Cc1nnc(-c2cc(-c3ccc(F)cc3)ncc2CNC(=O)OC(C)(C)C)nc1C,CC(C)(C)OC(=O)NCC1=CN=C(C=C1C(=O)NN)C2=CC=C(C=C2)F
